Gender,Age,Debt,Married,BankCustomer,Industry,Ethnicity,YearsEmployed,PriorDefault,Employed,CreditScore,DriversLicense,Citizen,ZipCode,Income,Approved,AgeNorm,DebtNorm,YearsEmployedNorm,CreditScoreNorm,IncomeNorm,AgeLog,DebtLog,YearsEmployedLog,CreditScoreLog,IncomeLog
0,15.83,0.585,1,1,Energy,Black,1.5,1,1,2,0,ByBirth,00100,0,1,-1.3279595462569596,-0.8403521948209992,-0.2166024966485871,-0.0826775871235762,-0.19556051634407481,-1.7801209665744084,-1.1249570178404265,0.10632969892221877,0.44402095833296623,-0.9341639144381613
0,47.0,13.0,1,1,ConsumerDiscretionary,Asian,5.165,1,1,9,1,ByBirth,00000,0,1,1.2985874428847493,1.655197310936308,0.8786345387930681,1.3568675489667055,-0.19556051634407481,1.3216889628599622,1.4704852505411585,1.3025866329653382,1.7411226585589632,-0.9341639144381613
1,56.58,18.5,1,1,Real Estate,Asian,15.0,1,1,17,1,ByBirth,00000,0,1,2.1058482756078023,2.7607568986660858,3.8176949053875235,3.002061990212742,-0.19556051634407481,1.8602663898181384,1.8652656069036098,2.566573137423524,2.3743754028695454,-0.9341639144381613
1,57.42,8.5,1,1,Education,Black,7.0,1,1,3,0,ByBirth,00000,0,1,2.1766310626106593,0.7506485573392172,1.4270001486253838,0.12297171803217832,-0.19556051634407481,1.903130818033154,1.0084996829879624,1.647910933542994,0.7539556212763365,-0.9341639144381613
1,42.08,1.04,1,1,Industrials,White,5.0,1,1,6,1,ByBirth,00500,10000,1,0.8840025475823042,-0.7488922652906267,0.8293264594348488,0.7399196334994419,1.7238406734215017,1.0016276477824164,-0.8242877642069311,1.2666316697624276,1.3568584338616614,1.9563684592716715
1,29.25,14.79,1,1,ConsumerStaples,White,5.04,1,1,5,1,ByBirth,00168,0,1,-0.19712025866370536,2.015006704033817,0.8412799332186596,0.5342703283436874,-0.19556051634407481,-0.04478879023201619,1.613834433043249,1.275438010506365,1.1907839941596159,-0.9341639144381613
1,42.0,9.79,1,1,Utilities,Black,7.96,1,1,8,0,ByBirth,00000,0,1,0.8772613297725086,1.0099525333703832,1.7138835194368405,1.1512182438109508,-0.19556051634407481,0.9961264659449928,1.1601988019354952,1.7981110392736568,1.6276123670428957,-0.9341639144381613
1,49.5,7.585,1,1,ConsumerDiscretionary,Asian,7.585,1,1,15,1,ByBirth,00000,5000,1,1.5092504994408698,0.5667236441078087,1.6018197027136152,2.5907633799012326,0.7641400785387134,1.4719565128698437,0.8878398378629934,1.74144740512735,2.2474816929296364,1.7388679625038173
0,36.75,5.125,1,1,Education,White,5.0,1,0,0,1,ByBirth,00000,4000,1,0.43486891100465574,0.07223699214139909,0.8293264594348488,-0.49397619743508525,0.5721999595621557,0.6107386629620696,0.48557674456035804,1.2666316697624276,-0.7395704503769633,1.6688540283967286
0,22.58,10.75,1,1,Materials,White,0.415,1,1,5,1,ByBirth,00000,560,1,-0.7591692935554346,1.2029229341377625,-0.5408404730344523,0.5342703283436874,-0.08807404971720255,-0.7820258403784153,1.2617463244810496,-0.6480077603292135,1.1907839941596159,1.0523060549632397
1,27.83,1.5,1,1,Industrials,White,2.0,1,1,11,1,ByBirth,00434,35,1,-0.3167768747875819,-0.6564272815895907,-0.06718407435095339,1.7681661592782147,-0.18884261217989531,-0.18708707158476778,-0.5820264885724602,0.34796946588189764,1.937547029986266,0.19045956616637785
1,27.25,1.585,1,1,InformationTechnology,Black,1.835,1,1,12,1,ByBirth,00583,713,1,-0.36565070390860166,-0.6393413606883124,-0.11649215370917251,1.9738154644339692,-0.05870721151378923,-0.24723589320229566,-0.5421921485628389,0.27299398415139065,2.0237811474355913,1.1279904636087836
0,23.0,11.75,1,1,Utilities,Black,0.5,1,1,2,1,ByBirth,00300,551,1,-0.7237779000540063,1.4039337682704494,-0.5154393412438545,-0.0826775871235762,-0.08980151078799156,-0.7297736765392853,1.359057891645334,-0.5706927379986325,0.44402095833296623,1.0472304916500592
1,27.75,0.585,0,0,InformationTechnology,White,0.25,1,1,2,0,ByBirth,00260,500,1,-0.32351809259737757,-0.8403521948209992,-0.5901485523926714,-0.0826775871235762,-0.09959045685579601,-0.19531114072214104,-1.1249570178404265,-0.8123325049583112,0.44402095833296623,1.0168069918190157
1,54.58,9.415,1,1,Healthcare,Latino,14.415,1,1,11,1,ByBirth,00030,300,1,1.9373178303629062,0.9345734705706255,3.6428753512992915,1.7681661592782147,-0.13797848065110754,1.7556377859063605,1.1180556053801063,2.5172069721804107,1.937547029986266,0.8569108141639417
1,34.17,9.17,1,1,Energy,White,4.5,1,1,12,1,ByBirth,00000,221,1,0.2174646366387397,0.8853258162081173,0.6799080371372151,1.9738154644339692,-0.1531417500502556,0.4012200972622186,1.089694384416533,1.1513111929722029,2.0237811474355913,0.7613699856567939
1,28.92,15.0,1,1,Energy,Black,5.335,1,1,11,0,ByBirth,00000,2283,1,-0.2249277821291131,2.0572189792016817,0.9294368023742635,1.7681661592782147,0.24263877527940625,-0.07725311913392773,1.6295751419178488,1.338638359621603,1.937547029986266,1.4929146875259953
1,29.67,1.415,1,1,Industrials,Black,0.75,1,1,1,0,ByBirth,00240,100,1,-0.161728865162277,-0.6735132024908691,-0.44073013009503764,-0.2883268922793307,-0.17636650444641905,-0.003978994264739403,-0.6232388887638953,-0.3663892260873639,0.007192585449686604,0.5142093153948493
1,39.58,13.915,1,1,Industrials,White,8.625,1,1,6,1,ByBirth,00070,0,1,0.6733394910261838,1.8391222241677163,1.9126100210926933,0.7399196334994419,-0.19556051634407481,0.8246902572195917,1.545913169631337,1.8929976449834351,1.3568584338616614,-0.9341639144381613
1,56.42,28.0,0,0,Energy,White,28.5,1,1,40,0,ByBirth,00000,15,1,2.092365839988211,4.670359822926611,7.851992307423633,7.731996008795095,-0.19268141455942644,1.8520308784828623,2.3381118186707566,3.3774239463901052,3.261251349190791,-0.06403641333066729
1,54.33,6.75,1,1,Energy,Black,2.625,1,1,11,1,ByBirth,00000,284,1,1.916251524707294,0.39887959760701525,0.11958895352108875,1.7681661592782147,-0.14104952255473246,1.7422952559768738,0.765930987813671,0.5987812376534398,1.937547029986266,0.8397689613657505
0,41.0,2.04,0,0,Materials,Black,0.125,1,1,23,1,ByBirth,00455,1236,1,0.7929961071500604,-0.5478814311579399,-0.6275031579670798,4.235957821147269,0.04167747071095042,0.9264847827969807,-0.34902735826019265,-0.951972001779199,2.684310065812916,1.300460506712814
1,31.92,4.46,1,1,InformationTechnology,Black,6.04,1,1,3,0,ByBirth,00311,300,1,0.02786788573823134,-0.061435212556837676,1.140116777813927,0.12297171803217832,-0.13797848065110754,0.20554954088729696,0.3486486742787648,1.4784870505721632,0.7539556212763365,0.8569108141639417
1,41.5,1.54,1,1,ConsumerDiscretionary,Asian,3.5,0,0,0,0,ByBirth,00216,0,1,0.8351287184612844,-0.6483868482242833,0.38107119254194777,-0.49397619743508525,-0.19556051634407481,0.9615104575761331,-0.5631149102280378,0.8853524059818612,-0.7395704503769633,-0.9341639144381613
1,23.92,0.665,1,1,Energy,White,0.165,0,0,0,0,ByBirth,00100,0,1,-0.6462538952413539,-0.8242713280903843,-0.615549684183269,-0.49397619743508525,-0.19556051634407481,-0.6184414914100398,-1.0662914110329673,-0.9056668761680456,-0.7395704503769633,-0.9341639144381613
0,25.75,0.5,1,1,Energy,Black,0.875,1,0,0,1,ByBirth,00491,0,1,-0.49204853784227387,-0.8574381157222776,-0.40337552452062925,-0.49397619743508525,-0.19556051634407481,-0.40871057126839055,-1.1906263945576916,-0.2749495648583479,-0.7395704503769633,-0.9341639144381613
1,26.0,1.0,1,1,Materials,White,1.75,1,0,0,1,ByBirth,00280,0,1,-0.47098223218666185,-0.7569326986559342,-0.14189328549977023,-0.49397619743508525,-0.19556051634407481,-0.3811788845805186,-0.8478807018944824,0.23264898909167267,-0.7395704503769633,-0.9341639144381613
1,37.42,2.04,1,1,Industrials,White,0.04,1,0,0,1,ByBirth,00400,5800,1,0.49132661016169615,-0.5478814311579399,-0.6529042897576776,-0.49397619743508525,0.9176921737199595,0.6628065788889306,-0.34902735826019265,-1.0560945292262123,-0.7395704503769633,1.7854382771284585
1,34.92,2.5,1,1,Industrials,White,0.0,1,0,0,1,ByBirth,00239,200,1,0.28066355360557577,-0.4554164474569039,-0.6648577635414882,-0.49397619743508525,-0.15717249254876328,0.46367075394039114,-0.18115197866706215,-1.108075678098596,-0.7395704503769633,0.7301837077842855
1,34.25,3.0,1,1,InformationTechnology,Black,7.415,1,0,0,1,ByBirth,00000,0,1,0.22420585444853539,-0.3549110303905605,1.5510174391324196,-0.49397619743508525,-0.19556051634407481,0.40794463290471783,-0.02206208729037201,1.7149395333922501,-0.7395704503769633,-0.9341639144381613
1,23.33,11.625,0,0,Industrials,White,0.835,1,0,0,1,ByBirth,00160,300,1,-0.6959703765885985,1.3788074140038635,-0.4153289983044399,-0.49397619743508525,-0.13797848065110754,-0.6893559351357571,1.347319822116343,-0.3035296352454692,-0.7395704503769633,0.8569108141639417
1,23.17,0.0,1,1,InformationTechnology,White,0.085,1,0,0,0,ByBirth,00000,0,1,-0.70945281220819,-0.957943532788621,-0.6394566317508905,-0.49397619743508525,-0.19556051634407481,-0.7088834944810036,-1.673699316498593,-0.9999536908137862,-0.7395704503769633,-0.9341639144381613
1,44.33,0.5,1,1,ConsumerDiscretionary,Black,5.0,1,0,0,1,ByBirth,00320,0,1,1.0735992984828127,-0.8574381157222776,0.8293264594348488,-0.49397619743508525,-0.19556051634407481,1.1523032938419826,-1.1906263945576916,1.2666316697624276,-0.7395704503769633,-0.9341639144381613
1,35.17,4.5,1,1,Utilities,Black,5.75,0,0,0,1,ByOtherMeans,00711,0,1,0.30172985926118784,-0.05339477919153019,1.0534540928812994,-0.49397619743508525,-0.19556051634407481,0.4841981976978155,0.3573450955180049,1.4227353460818244,-0.7395704503769633,-0.9341639144381613
1,43.25,3.0,1,1,Materials,Black,6.0,1,1,11,0,ByBirth,00080,0,1,0.9825928580505687,-0.3549110303905605,1.1281633040301162,1.7681661592782147,-0.19556051634407481,1.080935563151957,-0.02206208729037201,1.470935181673696,1.937547029986266,-0.9341639144381613
1,56.75,12.25,1,1,CommunicationServices,White,1.25,1,1,4,1,ByBirth,00200,0,1,2.1201733634536186,1.5044391853367929,-0.29131170779740395,0.32862102318793285,-0.19556051634407481,1.8689915837901196,1.404886788643114,-0.03330979789866904,0.994359622732313,-0.9341639144381613
1,31.67,16.165,1,1,Real Estate,White,3.0,1,1,9,0,ByBirth,00250,730,1,0.0068015800826193035,2.291396600966262,0.23165277024431405,1.3568675489667055,-0.05544422949118775,0.18298779893695796,1.7133114583129214,0.729248729662464,1.7411226585589632,1.1353750903827138
0,23.42,0.79,0,0,Materials,White,1.5,1,1,2,1,ByBirth,00080,400,1,-0.6883865065525779,-0.7991449738237983,-0.2166024966485871,-0.0826775871235762,-0.11878446875345176,-0.678428039730726,-0.9800450536345476,0.10632969892221877,0.44402095833296623,0.9469339334473793
0,20.42,0.835,1,1,Materials,White,1.585,1,1,1,0,ByBirth,00000,0,1,-0.9411821744199224,-0.7900994862878276,-0.1912013648579894,-0.2883268922793307,-0.19556051634407481,-1.0663693082312802,-0.9504638381174736,0.1506424595408541,0.007192585449686604,-0.9341639144381613
1,26.67,4.25,1,1,InformationTechnology,White,4.29,1,1,1,1,ByBirth,00120,0,1,-0.41452453302962144,-0.1036474877247019,0.617152299772209,-0.2883268922793307,-0.19556051634407481,-0.30863252574016625,0.301920943273839,1.099715544220568,0.007192585449686604,-0.9341639144381613
1,34.17,1.54,1,1,InformationTechnology,White,1.54,1,1,1,1,ByBirth,00520,50000,1,0.2174646366387397,-0.6483868482242833,-0.20464902286477638,-0.2883268922793307,9.401445432483806,0.4012200972622186,-0.5631149102280378,0.1273674327944141,0.007192585449686604,2.4614367269442523
0,36.0,1.0,1,1,Energy,White,2.0,1,1,11,0,ByBirth,00000,456,1,0.37166999403781964,-0.7569326986559342,-0.06718407435095339,1.7681661592782147,-0.10803582209076454,0.551346001465175,-0.8478807018944824,0.34796946588189764,1.937547029986266,0.9879586893385047
1,25.5,0.375,1,1,CommunicationServices,White,0.25,1,1,3,0,ByBirth,00260,15108,1,-0.5131148434978859,-0.8825644699888634,-0.5901485523926714,0.12297171803217832,2.704270801153758,-0.4365007752273723,-1.294292133690216,-0.8123325049583112,0.7539556212763365,2.0858573351092966
1,19.42,6.5,1,1,Industrials,Black,1.46,1,1,7,0,ByBirth,00080,2954,1,-1.0254473970423705,0.3486268890738435,-0.2285559704323978,0.9455689386551964,0.3714305951126764,-1.2078702031202482,0.7268650479725512,0.08495263216567836,1.5007186571029862,1.5737485490699923
1,35.17,25.125,1,1,Utilities,Black,1.625,1,1,1,1,ByBirth,00515,500,1,0.30172985926118784,4.092453674795136,-0.17924789107417866,-0.2883268922793307,-0.09959045685579601,0.4841981976978155,2.21372548040045,0.17099371401259958,0.007192585449686604,1.0168069918190157
1,32.33,7.5,1,1,Education,Asian,1.585,1,0,0,1,ByOtherMeans,00420,0,0,0.0624166270134348,0.5496377232065304,-0.1912013648579894,-0.49397619743508525,-0.19556051634407481,0.24218247167394144,0.8759849697044331,0.1506424595408541,-0.7395704503769633,-0.9341639144381613
1,34.83,4.0,1,1,Real Estate,Asian,12.5,1,0,0,1,ByBirth,00000,0,0,0.27307968356955514,-0.15390019625787363,3.0706027938993548,-0.49397619743508525,-0.19556051634407481,0.45624588181271936,0.24379212603165012,2.3413975499623545,-0.7395704503769633,-0.9341639144381613
0,38.58,5.0,1,1,InformationTechnology,White,13.5,1,0,0,1,ByBirth,00980,0,0,0.5890742684037358,0.04711063787481323,3.3694396384946224,-0.49397619743508525,-0.19556051634407481,0.7508432381657626,0.46101083465052917,2.4361056454145,-0.7395704503769633,-0.9341639144381613
1,44.25,0.5,1,1,CommunicationServices,White,10.75,1,0,0,0,ByOtherMeans,00400,0,0,1.0668580806730168,-0.8574381157222776,2.547638315857637,-0.49397619743508525,-0.19556051634407481,1.1470754099895253,-1.1906263945576916,2.157390750272745,-0.7395704503769633,-0.9341639144381613
1,44.83,7.0,0,0,Energy,White,1.625,0,0,0,0,ByBirth,00160,2,0,1.1157319097940366,0.44913230614018695,-0.17924789107417866,-0.49397619743508525,-0.1951766361061217,1.1847699969562673,0.8037565273137383,0.17099371401259958,-0.7395704503769633,-0.5893840494127651
1,20.67,5.29,1,1,Materials,White,0.375,1,1,1,0,ByBirth,00160,0,0,-0.9201158687643104,0.10540377977329242,-0.552793946818263,-0.2883268922793307,-0.19556051634407481,-1.0320264423088719,0.5172470312882562,-0.6860132147888574,0.007192585449686604,-0.9341639144381613
1,34.08,6.5,1,1,ConsumerStaples,White,0.125,1,0,0,1,ByBirth,00443,0,0,0.20988076660271907,0.3486268890738435,-0.6275031579670798,-0.49397619743508525,-0.19556051634407481,0.3936366867679889,0.7268650479725512,-0.951972001779199,-0.7395704503769633,-0.9341639144381613
0,19.17,0.585,0,0,ConsumerStaples,White,0.585,1,0,0,1,ByBirth,00160,0,0,-1.0465137026979825,-0.8403521948209992,-0.4900382094532568,-0.49397619743508525,-0.19556051634407481,-1.244328350472106,-1.1249570178404265,-0.4976404075283823,-0.7395704503769633,-0.9341639144381613
1,21.67,1.165,0,0,Financials,White,2.5,1,1,1,0,ByBirth,00180,20,0,-0.8358506461418622,-0.7237659110240409,0.08223434794668033,-0.2883268922793307,-0.19172171396454368,-0.8985065088993998,-0.7534342837922279,0.5522729777931663,0.007192585449686604,0.021305131350186485
1,21.5,9.75,1,1,Energy,White,0.25,1,0,0,0,ByBirth,00140,0,0,-0.8501757339876785,1.0019121000050757,-0.5901485523926714,-0.49397619743508525,-0.19556051634407481,-0.9207841410251267,1.1557738964963857,-0.8123325049583112,-0.7395704503769633,-0.9341639144381613
1,49.58,19.0,1,1,Healthcare,Latino,0.0,1,1,1,0,ByBirth,00094,0,0,1.5159917172506654,2.861262315732429,-0.6648577635414882,-0.2883268922793307,-0.19556051634407481,1.4766413337553184,1.8954293552398709,-1.108075678098596,0.007192585449686604,-0.9341639144381613
0,27.67,1.5,1,1,CommunicationServices,White,2.0,1,0,0,0,ByOtherMeans,00368,0,0,-0.3302593104071733,-0.6564272815895907,-0.06718407435095339,-0.49397619743508525,-0.19556051634407481,-0.20355812613890187,-0.5820264885724602,0.34796946588189764,-0.7395704503769633,-0.9341639144381613
1,39.83,0.5,1,1,CommunicationServices,White,0.25,1,0,0,0,ByOtherMeans,00288,0,0,0.6944057966817959,-0.8574381157222776,-0.5901485523926714,-0.49397619743508525,-0.19556051634407481,0.8428676572925345,-1.1906263945576916,-0.8123325049583112,-0.7395704503769633,-0.9341639144381613
0,32.68414886648157,3.5,1,1,Real Estate,White,3.0,1,0,0,1,ByBirth,00300,0,0,0.09225906008899222,-0.254405613324217,0.23165277024431405,-0.49397619743508525,-0.19556051634407481,0.27346425761197846,0.11826514198732002,0.729248729662464,-0.7395704503769633,-0.9341639144381613
1,27.25,0.625,1,1,ConsumerStaples,White,0.455,1,0,0,1,ByBirth,00200,0,0,-0.36565070390860166,-0.8323117614556917,-0.5288869992506415,-0.49397619743508525,-0.19556051634407481,-0.24723589320229566,-1.0952631588496227,-0.6110618305393425,-0.7395704503769633,-0.9341639144381613
1,37.17,4.0,1,1,Energy,Asian,5.0,1,0,0,1,ByOtherMeans,00280,0,0,0.47026030450608414,-0.15390019625787363,0.8293264594348488,-0.49397619743508525,-0.19556051634407481,0.6434852217423784,0.24379212603165012,1.2666316697624276,-0.7395704503769633,-0.9341639144381613
1,29.68280171120869,0.375,1,1,Real Estate,White,0.875,1,0,0,1,ByOtherMeans,00928,0,0,-0.16065012611732862,-0.8825644699888634,-0.40337552452062925,-0.49397619743508525,-0.19556051634407481,-0.0027438952392841004,-1.294292133690216,-0.2749495648583479,-0.7395704503769633,-0.9341639144381613
1,25.67,2.21,0,0,ConsumerStaples,White,4.0,1,0,0,0,ByBirth,00188,0,0,-0.4987897556520696,-0.5137095893553831,0.5304896148395815,-0.49397619743508525,-0.19556051634407481,-0.417575078011821,-0.28419896711314574,1.0249919028027485,-0.7395704503769633,-0.9341639144381613
1,34.0,4.5,1,1,ConsumerStaples,White,1.0,1,0,0,1,ByBirth,00240,0,0,0.20313954879292334,-0.05339477919153019,-0.3660209189462208,-0.49397619743508525,-0.19556051634407481,0.3868795263523724,0.3573450955180049,-0.18941347421806598,-0.7395704503769633,-0.9341639144381613
0,49.0,1.5,1,1,Research,Other,0.0,1,0,0,1,ByBirth,00100,27,0,1.4671178881296456,-0.6564272815895907,-0.6648577635414882,-0.49397619743508525,-0.19037813313170776,1.4425071656497535,-0.5820264885724602,-1.108075678098596,-0.7395704503769633,0.11158901687853737
1,62.5,12.75,0,0,Energy,Black,5.0,1,0,0,0,ByBirth,00112,0,0,2.6046983935326957,1.6049446024031364,0.8293264594348488,-0.49397619743508525,-0.19556051634407481,2.149909944240199,1.4490179234441376,1.2666316697624276,-0.7395704503769633,-0.9341639144381613
1,31.42,15.5,1,1,Energy,White,0.5,1,0,0,0,ByBirth,00120,0,0,-0.014264725572992734,2.157724396268025,-0.5154393412438545,-0.49397619743508525,-0.19556051634407481,0.1602527433977829,1.6662366320630164,-0.5706927379986325,-0.7395704503769633,-0.9341639144381613
1,40.45234150365846,5.0,0,0,ConsumerStaples,White,8.5,1,0,0,0,ByBirth,00000,0,0,0.7468475420347653,0.04711063787481323,1.8752554155182848,-0.49397619743508525,-0.19556051634407481,0.8876388383727007,0.46101083465052917,1.8756725694456984,-0.7395704503769633,-0.9341639144381613
1,52.33,1.375,0,0,Energy,Black,9.46,1,0,0,1,ByBirth,00200,100,0,1.7477210794623979,-0.6815536358561766,2.162138786329742,-0.49397619743508525,-0.17636650444641905,1.6333326471687888,-0.6431375462202586,2.0032595301142746,-0.7395704503769633,0.5142093153948493
1,28.75,1.5,0,0,Energy,White,1.5,1,0,0,1,ByBirth,00000,225,0,-0.23925286997492945,-0.6564272815895907,-0.2166024966485871,-0.49397619743508525,-0.15237398957434936,-0.09411718172124799,-0.5820264885724602,0.10632969892221877,-0.7395704503769633,0.7669742802567695
0,28.58,3.54,1,1,ConsumerDiscretionary,Asian,0.5,1,0,0,1,ByBirth,00171,0,0,-0.25357795782074577,-0.24636517995890955,-0.5154393412438545,-0.49397619743508525,-0.19556051634407481,-0.11107788702850546,0.12880861274329017,-0.5706927379986325,-0.7395704503769633,-0.9341639144381613
1,23.0,0.625,0,0,ConsumerStaples,White,0.125,1,0,0,0,ByBirth,00180,1,0,-0.7237779000540063,-0.8323117614556917,-0.6275031579670798,-0.49397619743508525,-0.19536857622509826,-0.7297736765392853,-1.0952631588496227,-0.951972001779199,-0.7395704503769633,-0.7166320391612877
